step,bot type,sender,recipient,accept?,number of sender sc,number of recipient sc
7,transparent,TURKEY,AUSTRIA,1,4,2
7,transparent,ENGLAND,ENGLAND,1,3,3
7,transparent,FRANCE,ENGLAND,0,6,3
7,transparent,GERMANY,ENGLAND,1,6,3
7,transparent,ITALY,ENGLAND,1,6,3
7,transparent,RUSSIA,ENGLAND,1,7,3
7,transparent,TURKEY,ENGLAND,1,4,3
7,transparent,ENGLAND,FRANCE,0,3,6
7,transparent,FRANCE,FRANCE,1,6,6
7,transparent,GERMANY,FRANCE,0,6,6
7,transparent,ITALY,FRANCE,1,6,6
7,transparent,RUSSIA,FRANCE,1,7,6
7,transparent,TURKEY,FRANCE,1,4,6
7,transparent,ENGLAND,GERMANY,1,3,6
7,transparent,FRANCE,GERMANY,1,6,6
7,transparent,GERMANY,GERMANY,1,6,6
7,transparent,ITALY,GERMANY,1,6,6
7,transparent,RUSSIA,GERMANY,1,7,6
7,transparent,TURKEY,GERMANY,1,4,6
7,RL,AUSTRIA,ITALY,1,2,6
7,transparent,ENGLAND,ITALY,1,3,6
7,transparent,FRANCE,ITALY,1,6,6
7,transparent,GERMANY,ITALY,1,6,6
7,transparent,ITALY,ITALY,1,6,6
7,transparent,RUSSIA,ITALY,0,7,6
7,transparent,TURKEY,ITALY,1,4,6
7,RL,AUSTRIA,RUSSIA,0,2,7
7,transparent,ENGLAND,RUSSIA,1,3,7
7,transparent,FRANCE,RUSSIA,1,6,7
7,transparent,GERMANY,RUSSIA,0,6,7
7,transparent,ITALY,RUSSIA,0,6,7
7,transparent,RUSSIA,RUSSIA,1,7,7
7,transparent,TURKEY,RUSSIA,0,4,7
7,transparent,ENGLAND,TURKEY,1,3,4
7,transparent,FRANCE,TURKEY,1,6,4
7,transparent,GERMANY,TURKEY,1,6,4
7,transparent,ITALY,TURKEY,1,6,4
7,transparent,RUSSIA,TURKEY,1,7,4
7,transparent,TURKEY,TURKEY,1,4,4
9,RL,AUSTRIA,AUSTRIA,1,2,2
9,transparent,ENGLAND,AUSTRIA,1,3,2
9,transparent,FRANCE,AUSTRIA,1,6,2
9,transparent,GERMANY,AUSTRIA,1,6,2
9,transparent,ITALY,AUSTRIA,0,6,2
9,transparent,RUSSIA,AUSTRIA,0,7,2
9,transparent,TURKEY,AUSTRIA,0,4,2
9,transparent,ENGLAND,ENGLAND,1,3,3
9,transparent,FRANCE,ENGLAND,0,6,3
9,transparent,GERMANY,ENGLAND,1,6,3
9,transparent,ITALY,ENGLAND,1,6,3
9,transparent,RUSSIA,ENGLAND,1,7,3
9,transparent,TURKEY,ENGLAND,1,4,3
9,transparent,ENGLAND,FRANCE,0,3,6
9,transparent,FRANCE,FRANCE,1,6,6
9,transparent,GERMANY,FRANCE,0,6,6
9,transparent,ITALY,FRANCE,1,6,6
9,transparent,RUSSIA,FRANCE,1,7,6
9,transparent,TURKEY,FRANCE,1,4,6
9,RL,AUSTRIA,GERMANY,1,2,6
9,transparent,ENGLAND,GERMANY,1,3,6
9,transparent,FRANCE,GERMANY,0,6,6
9,transparent,GERMANY,GERMANY,1,6,6
9,transparent,ITALY,GERMANY,1,6,6
9,transparent,RUSSIA,GERMANY,1,7,6
9,transparent,TURKEY,GERMANY,1,4,6
9,RL,AUSTRIA,ITALY,0,2,6
9,transparent,ENGLAND,ITALY,1,3,6
9,transparent,FRANCE,ITALY,1,6,6
9,transparent,GERMANY,ITALY,1,6,6
9,transparent,ITALY,ITALY,1,6,6
9,transparent,RUSSIA,ITALY,0,7,6
9,transparent,TURKEY,ITALY,1,4,6
9,transparent,ENGLAND,RUSSIA,1,3,7
9,transparent,FRANCE,RUSSIA,1,6,7
9,transparent,GERMANY,RUSSIA,0,6,7
9,transparent,ITALY,RUSSIA,0,6,7
9,transparent,RUSSIA,RUSSIA,1,7,7
9,transparent,TURKEY,RUSSIA,0,4,7
9,transparent,ENGLAND,TURKEY,1,3,4
9,transparent,FRANCE,TURKEY,1,6,4
9,transparent,GERMANY,TURKEY,1,6,4
9,transparent,ITALY,TURKEY,1,6,4
9,transparent,RUSSIA,TURKEY,1,7,4
9,transparent,TURKEY,TURKEY,1,4,4
12,transparent,ENGLAND,ENGLAND,1,3,3
12,transparent,FRANCE,ENGLAND,0,5,3
12,transparent,GERMANY,ENGLAND,0,7,3
12,transparent,ITALY,ENGLAND,1,7,3
12,transparent,RUSSIA,ENGLAND,1,8,3
12,transparent,TURKEY,ENGLAND,1,4,3
12,transparent,ENGLAND,FRANCE,0,3,5
12,transparent,FRANCE,FRANCE,1,5,5
12,transparent,GERMANY,FRANCE,0,7,5
12,transparent,ITALY,FRANCE,1,7,5
12,transparent,RUSSIA,FRANCE,1,8,5
12,transparent,TURKEY,FRANCE,1,4,5
12,transparent,ENGLAND,GERMANY,0,3,7
12,transparent,FRANCE,GERMANY,0,5,7
12,transparent,GERMANY,GERMANY,1,7,7
12,transparent,ITALY,GERMANY,1,7,7
12,transparent,RUSSIA,GERMANY,1,8,7
12,transparent,TURKEY,GERMANY,1,4,7
12,RL,AUSTRIA,ITALY,0,0,7
12,transparent,ENGLAND,ITALY,1,3,7
12,transparent,FRANCE,ITALY,1,5,7
12,transparent,GERMANY,ITALY,1,7,7
12,transparent,ITALY,ITALY,1,7,7
12,transparent,RUSSIA,ITALY,0,8,7
12,transparent,TURKEY,ITALY,1,4,7
12,RL,AUSTRIA,RUSSIA,0,0,8
12,transparent,ENGLAND,RUSSIA,1,3,8
12,transparent,FRANCE,RUSSIA,1,5,8
12,transparent,GERMANY,RUSSIA,0,7,8
12,transparent,ITALY,RUSSIA,0,7,8
12,transparent,RUSSIA,RUSSIA,1,8,8
12,transparent,TURKEY,RUSSIA,0,4,8
12,transparent,ENGLAND,TURKEY,1,3,4
12,transparent,FRANCE,TURKEY,1,5,4
12,transparent,GERMANY,TURKEY,1,7,4
12,transparent,ITALY,TURKEY,1,7,4
12,transparent,RUSSIA,TURKEY,1,8,4
12,transparent,TURKEY,TURKEY,1,4,4
14,transparent,ENGLAND,ENGLAND,1,3,3
14,transparent,FRANCE,ENGLAND,0,5,3
14,transparent,GERMANY,ENGLAND,0,7,3
14,transparent,ITALY,ENGLAND,1,7,3
14,transparent,RUSSIA,ENGLAND,1,8,3
14,transparent,TURKEY,ENGLAND,1,4,3
14,transparent,ENGLAND,FRANCE,0,3,5
14,transparent,FRANCE,FRANCE,1,5,5
14,transparent,GERMANY,FRANCE,0,7,5
14,transparent,ITALY,FRANCE,1,7,5
14,transparent,RUSSIA,FRANCE,1,8,5
14,transparent,TURKEY,FRANCE,1,4,5
14,RL,AUSTRIA,GERMANY,1,0,7
14,transparent,ENGLAND,GERMANY,0,3,7
14,transparent,FRANCE,GERMANY,0,5,7
14,transparent,GERMANY,GERMANY,1,7,7
14,transparent,ITALY,GERMANY,1,7,7
14,transparent,RUSSIA,GERMANY,1,8,7
14,transparent,TURKEY,GERMANY,1,4,7
14,RL,AUSTRIA,ITALY,0,0,7
14,transparent,ENGLAND,ITALY,1,3,7
14,transparent,FRANCE,ITALY,1,5,7
14,transparent,GERMANY,ITALY,1,7,7
14,transparent,ITALY,ITALY,1,7,7
14,transparent,RUSSIA,ITALY,0,8,7
14,transparent,TURKEY,ITALY,1,4,7
14,transparent,ENGLAND,RUSSIA,1,3,8
14,transparent,FRANCE,RUSSIA,1,5,8
14,transparent,GERMANY,RUSSIA,0,7,8
14,transparent,ITALY,RUSSIA,0,7,8
14,transparent,RUSSIA,RUSSIA,1,8,8
14,transparent,TURKEY,RUSSIA,0,4,8
14,transparent,ENGLAND,TURKEY,1,3,4
14,transparent,FRANCE,TURKEY,1,5,4
14,transparent,GERMANY,TURKEY,1,7,4
14,transparent,ITALY,TURKEY,1,7,4
14,transparent,RUSSIA,TURKEY,1,8,4
14,transparent,TURKEY,TURKEY,1,4,4
17,transparent,ENGLAND,ENGLAND,1,3,3
17,transparent,FRANCE,ENGLAND,0,5,3
17,transparent,GERMANY,ENGLAND,0,8,3
17,transparent,ITALY,ENGLAND,1,7,3
17,transparent,RUSSIA,ENGLAND,1,7,3
17,transparent,TURKEY,ENGLAND,1,4,3
17,transparent,ENGLAND,FRANCE,0,3,5
17,transparent,FRANCE,FRANCE,1,5,5
17,transparent,GERMANY,FRANCE,0,8,5
17,transparent,ITALY,FRANCE,1,7,5
17,transparent,RUSSIA,FRANCE,1,7,5
17,transparent,TURKEY,FRANCE,1,4,5
17,transparent,ENGLAND,GERMANY,0,3,8
17,transparent,FRANCE,GERMANY,0,5,8
17,transparent,GERMANY,GERMANY,1,8,8
17,transparent,ITALY,GERMANY,1,7,8
17,transparent,RUSSIA,GERMANY,1,7,8
17,transparent,TURKEY,GERMANY,1,4,8
17,RL,AUSTRIA,ITALY,0,0,7
17,transparent,ENGLAND,ITALY,1,3,7
17,transparent,FRANCE,ITALY,1,5,7
17,transparent,GERMANY,ITALY,1,8,7
17,transparent,ITALY,ITALY,1,7,7
17,transparent,RUSSIA,ITALY,0,7,7
17,transparent,TURKEY,ITALY,1,4,7
17,transparent,ENGLAND,RUSSIA,1,3,7
17,transparent,FRANCE,RUSSIA,1,5,7
17,transparent,GERMANY,RUSSIA,0,8,7
17,transparent,ITALY,RUSSIA,0,7,7
17,transparent,RUSSIA,RUSSIA,1,7,7
17,transparent,TURKEY,RUSSIA,0,4,7
17,transparent,ENGLAND,TURKEY,1,3,4
17,transparent,FRANCE,TURKEY,1,5,4
17,transparent,GERMANY,TURKEY,1,8,4
17,transparent,ITALY,TURKEY,1,7,4
17,transparent,RUSSIA,TURKEY,1,7,4
17,transparent,TURKEY,TURKEY,1,4,4
19,transparent,ENGLAND,ENGLAND,1,3,3
19,transparent,FRANCE,ENGLAND,0,5,3
19,transparent,GERMANY,ENGLAND,0,8,3
19,transparent,ITALY,ENGLAND,1,7,3
19,transparent,RUSSIA,ENGLAND,1,7,3
19,transparent,TURKEY,ENGLAND,1,4,3
19,transparent,ENGLAND,FRANCE,0,3,5
19,transparent,FRANCE,FRANCE,1,5,5
19,transparent,GERMANY,FRANCE,0,8,5
19,transparent,ITALY,FRANCE,1,7,5
19,transparent,RUSSIA,FRANCE,1,7,5
19,transparent,TURKEY,FRANCE,1,4,5
19,transparent,ENGLAND,GERMANY,0,3,8
19,transparent,FRANCE,GERMANY,0,5,8
19,transparent,GERMANY,GERMANY,1,8,8
19,transparent,ITALY,GERMANY,1,7,8
19,transparent,RUSSIA,GERMANY,1,7,8
19,transparent,TURKEY,GERMANY,1,4,8
19,transparent,ENGLAND,ITALY,1,3,7
19,transparent,FRANCE,ITALY,1,5,7
19,transparent,GERMANY,ITALY,1,8,7
19,transparent,ITALY,ITALY,1,7,7
19,transparent,RUSSIA,ITALY,0,7,7
19,transparent,TURKEY,ITALY,1,4,7
19,transparent,ENGLAND,RUSSIA,1,3,7
19,transparent,FRANCE,RUSSIA,1,5,7
19,transparent,GERMANY,RUSSIA,0,8,7
19,transparent,ITALY,RUSSIA,0,7,7
19,transparent,RUSSIA,RUSSIA,1,7,7
19,transparent,TURKEY,RUSSIA,0,4,7
19,transparent,ENGLAND,TURKEY,1,3,4
19,transparent,FRANCE,TURKEY,1,5,4
19,transparent,GERMANY,TURKEY,1,8,4
19,transparent,ITALY,TURKEY,0,7,4
19,transparent,RUSSIA,TURKEY,1,7,4
19,transparent,TURKEY,TURKEY,1,4,4
22,transparent,ENGLAND,ENGLAND,1,3,3
22,transparent,FRANCE,ENGLAND,0,5,3
22,transparent,GERMANY,ENGLAND,0,10,3
22,transparent,ITALY,ENGLAND,1,6,3
22,transparent,RUSSIA,ENGLAND,1,6,3
22,transparent,TURKEY,ENGLAND,1,4,3
22,transparent,ENGLAND,FRANCE,0,3,5
22,transparent,FRANCE,FRANCE,1,5,5
22,transparent,GERMANY,FRANCE,0,10,5
22,transparent,ITALY,FRANCE,1,6,5
22,transparent,RUSSIA,FRANCE,1,6,5
22,transparent,TURKEY,FRANCE,1,4,5
22,transparent,ENGLAND,GERMANY,0,3,10
22,transparent,FRANCE,GERMANY,0,5,10
22,transparent,GERMANY,GERMANY,1,10,10
22,transparent,ITALY,GERMANY,1,6,10
22,transparent,RUSSIA,GERMANY,1,6,10
22,transparent,TURKEY,GERMANY,1,4,10
22,transparent,ENGLAND,ITALY,1,3,6
22,transparent,FRANCE,ITALY,1,5,6
22,transparent,GERMANY,ITALY,1,10,6
22,transparent,ITALY,ITALY,1,6,6
22,transparent,RUSSIA,ITALY,0,6,6
22,transparent,TURKEY,ITALY,1,4,6
22,transparent,ENGLAND,RUSSIA,1,3,6
22,transparent,FRANCE,RUSSIA,1,5,6
22,transparent,GERMANY,RUSSIA,0,10,6
22,transparent,ITALY,RUSSIA,0,6,6
22,transparent,RUSSIA,RUSSIA,1,6,6
22,transparent,TURKEY,RUSSIA,0,4,6
22,transparent,ENGLAND,TURKEY,1,3,4
22,transparent,FRANCE,TURKEY,1,5,4
22,transparent,GERMANY,TURKEY,1,10,4
22,transparent,ITALY,TURKEY,0,6,4
22,transparent,RUSSIA,TURKEY,1,6,4
22,transparent,TURKEY,TURKEY,1,4,4
