step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
27,transparent,TURKEY,3,RUSSIA ,11,ITALY ,6
30,RL,AUSTRIA,0,,0,,0
30,transparent,ENGLAND,5,GERMANY ,2,FRANCE ,6
30,transparent,FRANCE,6,,0,,0
30,transparent,GERMANY,2,,0,,0
30,transparent,ITALY,6,TURKEY ,2,RUSSIA ,13
30,transparent,RUSSIA,13,,0,ENGLAND FRANCE ITALY ,17
30,transparent,TURKEY,2,RUSSIA ,13,,0
31,RL,AUSTRIA,0,,0,,0
31,transparent,ENGLAND,5,GERMANY ,2,,0
31,transparent,FRANCE,6,,0,ENGLAND ,5
31,transparent,GERMANY,2,,0,,0
31,transparent,ITALY,6,TURKEY ,2,RUSSIA ,13
31,transparent,RUSSIA,13,,0,ENGLAND FRANCE ITALY ,17
31,transparent,TURKEY,2,RUSSIA ,13,,0
34,RL,AUSTRIA,0,,0,,0
34,transparent,ENGLAND,6,GERMANY ,2,,0
34,transparent,FRANCE,4,,0,ENGLAND RUSSIA ,21
34,transparent,GERMANY,2,,0,,0
34,transparent,ITALY,6,ENGLAND TURKEY ,7,RUSSIA ,15
34,transparent,RUSSIA,15,,0,ENGLAND ITALY ,12
34,transparent,TURKEY,1,RUSSIA ,15,,0
36,RL,AUSTRIA,0,,0,,0
36,transparent,ENGLAND,6,GERMANY ,2,,0
36,transparent,FRANCE,4,,0,ENGLAND RUSSIA ,21
36,transparent,GERMANY,2,,0,,0
36,transparent,ITALY,6,ENGLAND TURKEY ,7,RUSSIA ,15
36,transparent,RUSSIA,15,,0,ITALY TURKEY ,7
36,transparent,TURKEY,1,RUSSIA ,15,,0
39,RL,AUSTRIA,0,,0,,0
39,transparent,ENGLAND,6,GERMANY ,3,,0
39,transparent,FRANCE,2,,0,ENGLAND RUSSIA ,23
39,transparent,GERMANY,3,,0,,0
39,transparent,ITALY,6,ENGLAND TURKEY ,6,,0
39,transparent,RUSSIA,17,,0,FRANCE ITALY ,8
39,transparent,TURKEY,0,RUSSIA ,17,,0
41,RL,AUSTRIA,0,,0,,0
41,transparent,ENGLAND,6,GERMANY ,3,,0
41,transparent,FRANCE,2,,0,ENGLAND RUSSIA ,23
41,transparent,GERMANY,3,,0,,0
41,transparent,ITALY,6,ENGLAND TURKEY ,6,RUSSIA ,17
41,transparent,RUSSIA,17,,0,ENGLAND FRANCE ITALY ,14
41,transparent,TURKEY,0,RUSSIA ,17,,0
