step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,RL,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,RL,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,transparent,AUSTRIA,4,,0,RUSSIA ,6
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,5,,0,,0
3,RL,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,transparent,RUSSIA,6,,0,,0
3,transparent,TURKEY,4,,0,,0
5,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,10
5,transparent,ENGLAND,4,,0,RUSSIA ,6
5,transparent,FRANCE,5,,0,GERMANY ,5
5,RL,GERMANY,5,ENGLAND ,4,,0
5,transparent,ITALY,4,FRANCE ,5,,0
5,transparent,RUSSIA,6,,0,AUSTRIA TURKEY ,8
5,transparent,TURKEY,4,AUSTRIA ,4,,0
8,transparent,AUSTRIA,3,TURKEY ,5,RUSSIA ,5
8,transparent,ENGLAND,4,,0,RUSSIA ,5
8,transparent,FRANCE,5,,0,ENGLAND ,4
8,RL,GERMANY,6,,0,ENGLAND FRANCE ,9
8,transparent,ITALY,5,FRANCE ,5,AUSTRIA ,3
8,transparent,RUSSIA,5,ENGLAND ,4,ITALY ,5
8,transparent,TURKEY,5,AUSTRIA ,3,RUSSIA ,5
10,transparent,AUSTRIA,3,,0,ITALY TURKEY ,10
10,transparent,ENGLAND,4,,0,FRANCE ,5
10,transparent,FRANCE,5,,0,GERMANY ,6
10,RL,GERMANY,6,,0,ENGLAND FRANCE ,9
10,transparent,ITALY,5,FRANCE ,5,TURKEY ,5
10,transparent,RUSSIA,5,ENGLAND ,4,AUSTRIA TURKEY ,8
10,transparent,TURKEY,5,AUSTRIA ,3,ITALY RUSSIA ,10
13,transparent,AUSTRIA,1,,0,ITALY RUSSIA ,13
13,transparent,ENGLAND,4,,0,GERMANY ,6
13,transparent,FRANCE,5,,0,ENGLAND ,4
13,RL,GERMANY,6,,0,ENGLAND FRANCE ,9
13,transparent,ITALY,6,FRANCE ,5,AUSTRIA RUSSIA ,8
13,transparent,RUSSIA,7,ENGLAND ,4,ITALY TURKEY ,10
13,transparent,TURKEY,4,AUSTRIA ,1,,0
15,transparent,AUSTRIA,1,,0,RUSSIA ,7
15,transparent,ENGLAND,4,,0,FRANCE GERMANY ,11
15,transparent,FRANCE,5,,0,GERMANY ,6
15,RL,GERMANY,6,,0,ENGLAND FRANCE ,9
15,transparent,ITALY,6,FRANCE ,5,,0
15,transparent,RUSSIA,7,ENGLAND ,4,ITALY TURKEY ,10
15,transparent,TURKEY,4,AUSTRIA ,1,RUSSIA ,7
17,transparent,AUSTRIA,1,,0,,0
17,transparent,ENGLAND,3,,0,FRANCE GERMANY ,13
17,transparent,FRANCE,6,,0,,0
17,RL,GERMANY,7,,0,ENGLAND FRANCE ,9
17,transparent,ITALY,8,FRANCE ,6,,0
17,transparent,RUSSIA,6,ENGLAND ,3,ITALY ,8
17,transparent,TURKEY,3,,0,AUSTRIA ITALY RUSSIA ,15
19,transparent,AUSTRIA,1,,0,,0
19,transparent,ENGLAND,3,,0,GERMANY ,7
19,transparent,FRANCE,6,,0,,0
19,RL,GERMANY,7,,0,ENGLAND FRANCE ,9
19,transparent,ITALY,8,FRANCE ,6,RUSSIA ,6
19,transparent,RUSSIA,6,ENGLAND ,3,AUSTRIA ITALY ,9
19,transparent,TURKEY,3,,0,ITALY RUSSIA ,14
22,transparent,AUSTRIA,0,,0,,0
22,transparent,ENGLAND,3,,0,FRANCE GERMANY ,13
22,transparent,FRANCE,6,,0,,0
22,RL,GERMANY,7,,0,ENGLAND FRANCE ,9
22,transparent,ITALY,9,FRANCE ,6,RUSSIA ,6
22,transparent,RUSSIA,6,ENGLAND ,3,AUSTRIA ITALY ,9
22,transparent,TURKEY,3,,0,ITALY ,9
24,transparent,AUSTRIA,0,,0,,0
24,transparent,ENGLAND,3,,0,FRANCE ,6
24,transparent,FRANCE,6,,0,GERMANY ,7
24,RL,GERMANY,7,,0,ENGLAND FRANCE ,9
24,transparent,ITALY,9,FRANCE ,6,RUSSIA ,6
24,transparent,RUSSIA,6,ENGLAND ,3,ITALY ,9
24,transparent,TURKEY,3,,0,ITALY ,9
27,transparent,AUSTRIA,0,,0,,0
27,transparent,ENGLAND,1,,0,,0
27,transparent,FRANCE,7,,0,,0
27,RL,GERMANY,8,,0,FRANCE ,7
27,transparent,ITALY,11,FRANCE ,7,RUSSIA TURKEY ,7
27,transparent,RUSSIA,5,ENGLAND ,1,ITALY ,11
27,transparent,TURKEY,2,,0,ITALY ,11
29,transparent,AUSTRIA,0,,0,,0
29,transparent,ENGLAND,1,,0,,0
29,transparent,FRANCE,7,,0,,0
29,RL,GERMANY,8,RUSSIA ,5,FRANCE ,7
29,transparent,ITALY,11,FRANCE ,7,RUSSIA TURKEY ,7
29,transparent,RUSSIA,5,ENGLAND ,1,ITALY ,11
29,transparent,TURKEY,2,,0,ITALY RUSSIA ,16
32,transparent,AUSTRIA,0,,0,,0
32,transparent,ENGLAND,1,,0,,0
32,transparent,FRANCE,7,,0,,0
32,RL,GERMANY,9,RUSSIA ,4,FRANCE ,7
32,transparent,ITALY,12,FRANCE ,7,RUSSIA TURKEY ,5
32,transparent,RUSSIA,4,ENGLAND ,1,ITALY ,12
32,transparent,TURKEY,1,,0,,0
34,transparent,AUSTRIA,0,,0,,0
34,transparent,ENGLAND,1,,0,,0
34,transparent,FRANCE,7,,0,GERMANY ,9
34,RL,GERMANY,9,RUSSIA ,4,FRANCE ITALY ,19
34,transparent,ITALY,12,FRANCE ,7,RUSSIA TURKEY ,5
34,transparent,RUSSIA,4,ENGLAND ,1,ITALY ,12
34,transparent,TURKEY,1,,0,,0
