step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
29,transparent,ITALY,5,,0,RUSSIA TURKEY ,15
29,transparent,RUSSIA,11,,0,AUSTRIA ITALY ,5
29,transparent,TURKEY,4,AUSTRIA ,0,ITALY RUSSIA ,16
31,transparent,AUSTRIA,0,,0,,0
31,transparent,ENGLAND,3,GERMANY RUSSIA ,18,FRANCE ,5
31,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
31,transparent,GERMANY,6,ITALY ,5,FRANCE ,5
31,transparent,ITALY,5,,0,RUSSIA TURKEY ,15
31,transparent,RUSSIA,12,,0,ITALY ,5
31,transparent,TURKEY,3,AUSTRIA ,0,ITALY RUSSIA ,17
33,transparent,AUSTRIA,0,,0,,0
33,transparent,ENGLAND,3,GERMANY RUSSIA ,18,FRANCE ,5
33,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
33,transparent,GERMANY,6,ITALY ,5,FRANCE ,5
33,transparent,ITALY,5,,0,RUSSIA ,12
33,transparent,RUSSIA,12,,0,,0
33,transparent,TURKEY,3,AUSTRIA ,0,ITALY RUSSIA ,17
35,transparent,AUSTRIA,0,,0,,0
35,transparent,ENGLAND,3,GERMANY RUSSIA ,18,FRANCE ,5
35,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
35,transparent,GERMANY,6,ITALY ,5,FRANCE RUSSIA ,17
35,transparent,ITALY,5,,0,RUSSIA ,12
35,transparent,RUSSIA,12,,0,,0
35,transparent,TURKEY,3,AUSTRIA ,0,ITALY RUSSIA ,17
37,transparent,AUSTRIA,0,,0,,0
37,transparent,ENGLAND,3,GERMANY RUSSIA ,18,FRANCE ,5
37,RL,FRANCE,5,,0,ENGLAND GERMANY ,9
37,transparent,GERMANY,6,ITALY ,5,FRANCE RUSSIA ,17
37,transparent,ITALY,5,,0,RUSSIA ,12
37,transparent,RUSSIA,12,,0,,0
37,transparent,TURKEY,3,AUSTRIA ,0,ITALY RUSSIA ,17
40,transparent,AUSTRIA,0,,0,,0
40,transparent,ENGLAND,3,GERMANY RUSSIA ,19,,0
40,RL,FRANCE,5,,0,ENGLAND GERMANY ,8
40,transparent,GERMANY,5,ITALY ,5,,0
40,transparent,ITALY,5,,0,RUSSIA ,14
40,transparent,RUSSIA,14,,0,GERMANY ,5
40,transparent,TURKEY,2,AUSTRIA ,0,ITALY RUSSIA ,19
41,transparent,AUSTRIA,0,,0,,0
41,transparent,ENGLAND,3,GERMANY RUSSIA ,19,FRANCE ,5
41,RL,FRANCE,5,,0,ENGLAND GERMANY ,8
41,transparent,GERMANY,5,ITALY ,5,RUSSIA ,14
41,transparent,ITALY,5,,0,RUSSIA ,14
41,transparent,RUSSIA,14,,0,GERMANY ,5
41,transparent,TURKEY,2,AUSTRIA ,0,ITALY RUSSIA ,19
44,transparent,AUSTRIA,0,,0,,0
44,transparent,ENGLAND,3,GERMANY ,1,FRANCE RUSSIA ,23
44,RL,FRANCE,6,,0,ENGLAND GERMANY ,4
44,transparent,GERMANY,1,ITALY ,6,FRANCE RUSSIA ,23
44,transparent,ITALY,6,,0,RUSSIA ,17
44,transparent,RUSSIA,17,,0,,0
44,transparent,TURKEY,1,AUSTRIA ,0,RUSSIA ,17
45,transparent,AUSTRIA,0,,0,,0
45,transparent,ENGLAND,3,GERMANY ,1,FRANCE RUSSIA ,23
45,RL,FRANCE,6,,0,ENGLAND ,3
45,transparent,GERMANY,1,ITALY ,6,FRANCE RUSSIA ,23
45,transparent,ITALY,6,,0,RUSSIA ,17
45,transparent,RUSSIA,17,,0,,0
45,transparent,TURKEY,1,AUSTRIA ,0,RUSSIA ,17
48,transparent,AUSTRIA,0,,0,,0
48,transparent,ENGLAND,3,GERMANY ,1,FRANCE ,6
48,RL,FRANCE,6,,0,ENGLAND ,3
48,transparent,GERMANY,1,ITALY ,7,,0
48,transparent,ITALY,7,,0,RUSSIA ,16
48,transparent,RUSSIA,16,,0,,0
48,transparent,TURKEY,1,AUSTRIA ,0,,0
50,transparent,AUSTRIA,0,,0,,0
50,transparent,ENGLAND,3,GERMANY ,1,FRANCE ,6
50,RL,FRANCE,6,,0,ENGLAND ,3
50,transparent,GERMANY,1,ITALY ,7,,0
50,transparent,ITALY,7,,0,RUSSIA ,16
50,transparent,RUSSIA,16,,0,,0
50,transparent,TURKEY,1,AUSTRIA ,0,,0
53,transparent,AUSTRIA,0,,0,,0
53,transparent,ENGLAND,3,GERMANY ,0,FRANCE ,6
53,RL,FRANCE,6,,0,ENGLAND RUSSIA ,20
53,transparent,GERMANY,0,ITALY ,7,,0
53,transparent,ITALY,7,,0,RUSSIA ,17
53,transparent,RUSSIA,17,,0,,0
53,transparent,TURKEY,1,AUSTRIA ,0,,0
54,transparent,AUSTRIA,0,,0,,0
54,transparent,ENGLAND,3,GERMANY ,0,FRANCE ,6
54,RL,FRANCE,6,,0,ENGLAND RUSSIA ,20
54,transparent,GERMANY,0,ITALY ,7,,0
54,transparent,ITALY,7,,0,RUSSIA ,17
54,transparent,RUSSIA,17,,0,FRANCE ,6
54,transparent,TURKEY,1,AUSTRIA ,0,RUSSIA ,17
