step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,RL,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,RL,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,transparent,AUSTRIA,3,,0,ITALY ,5
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,6,,0,,0
3,transparent,GERMANY,5,,0,,0
3,RL,ITALY,5,,0,,0
3,transparent,RUSSIA,7,,0,,0
3,transparent,TURKEY,4,,0,,0
5,transparent,AUSTRIA,3,,0,ITALY RUSSIA ,12
5,transparent,ENGLAND,4,,0,,0
5,transparent,FRANCE,6,,0,,0
5,transparent,GERMANY,5,ENGLAND ,4,,0
5,RL,ITALY,5,,0,,0
5,transparent,RUSSIA,7,,0,AUSTRIA GERMANY TURKEY ,12
5,transparent,TURKEY,4,,0,,0
7,transparent,AUSTRIA,2,,0,RUSSIA ,7
7,transparent,ENGLAND,3,GERMANY RUSSIA ,14,,0
7,transparent,FRANCE,5,,0,ENGLAND GERMANY ,10
7,transparent,GERMANY,7,ENGLAND ,3,FRANCE ,5
7,RL,ITALY,6,,0,AUSTRIA RUSSIA ,9
7,transparent,RUSSIA,7,,0,ITALY TURKEY ,10
7,transparent,TURKEY,4,,0,,0
9,transparent,AUSTRIA,2,,0,RUSSIA TURKEY ,11
9,transparent,ENGLAND,3,GERMANY RUSSIA ,14,,0
9,transparent,FRANCE,5,,0,ENGLAND GERMANY ,10
9,transparent,GERMANY,7,ENGLAND RUSSIA ,10,FRANCE ,5
9,RL,ITALY,6,,0,AUSTRIA RUSSIA ,9
9,transparent,RUSSIA,7,,0,ITALY ,6
9,transparent,TURKEY,4,AUSTRIA ,2,,0
11,transparent,AUSTRIA,2,,0,RUSSIA TURKEY ,9
11,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
11,transparent,FRANCE,5,,0,ENGLAND ,4
11,transparent,GERMANY,7,ENGLAND RUSSIA ,9,FRANCE ,5
11,RL,ITALY,7,,0,AUSTRIA RUSSIA ,7
11,transparent,RUSSIA,5,,0,ITALY ,7
11,transparent,TURKEY,4,AUSTRIA ,2,ITALY ,7
13,transparent,AUSTRIA,2,,0,,0
13,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
13,transparent,FRANCE,5,,0,ENGLAND ,4
13,transparent,GERMANY,7,ENGLAND ,4,FRANCE RUSSIA ,10
13,RL,ITALY,7,,0,AUSTRIA RUSSIA TURKEY ,11
13,transparent,RUSSIA,5,,0,GERMANY ,7
13,transparent,TURKEY,4,AUSTRIA ,2,ITALY ,7
16,transparent,AUSTRIA,1,,0,,0
16,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
16,transparent,FRANCE,5,,0,ENGLAND ,4
16,transparent,GERMANY,6,,0,ENGLAND RUSSIA ,10
16,RL,ITALY,8,,0,AUSTRIA RUSSIA TURKEY ,11
16,transparent,RUSSIA,6,,0,GERMANY ITALY ,14
16,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,8
18,transparent,AUSTRIA,1,,0,,0
18,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
18,transparent,FRANCE,5,,0,ENGLAND ,4
18,transparent,GERMANY,6,,0,ENGLAND FRANCE RUSSIA ,15
18,RL,ITALY,8,,0,RUSSIA TURKEY ,10
18,transparent,RUSSIA,6,,0,,0
18,transparent,TURKEY,4,AUSTRIA ,1,ITALY ,8
21,transparent,AUSTRIA,0,,0,,0
21,transparent,ENGLAND,3,GERMANY RUSSIA ,11,,0
21,transparent,FRANCE,6,,0,ENGLAND ,3
21,transparent,GERMANY,5,,0,FRANCE ,6
21,RL,ITALY,10,,0,RUSSIA ,6
21,transparent,RUSSIA,6,ENGLAND ,3,ITALY ,10
21,transparent,TURKEY,4,AUSTRIA ,0,,0
23,transparent,AUSTRIA,0,,0,,0
23,transparent,ENGLAND,3,GERMANY RUSSIA ,11,,0
23,transparent,FRANCE,6,,0,ENGLAND GERMANY ,8
23,transparent,GERMANY,5,,0,FRANCE RUSSIA ,12
23,RL,ITALY,10,,0,RUSSIA TURKEY ,10
23,transparent,RUSSIA,6,ENGLAND ,3,ITALY ,10
23,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,10
26,transparent,AUSTRIA,0,,0,,0
26,transparent,ENGLAND,3,GERMANY RUSSIA ,10,,0
26,transparent,FRANCE,8,,0,ENGLAND GERMANY ,7
26,transparent,GERMANY,4,,0,FRANCE ,8
26,RL,ITALY,11,,0,RUSSIA TURKEY ,8
26,transparent,RUSSIA,6,ENGLAND ,3,ITALY ,11
26,transparent,TURKEY,2,AUSTRIA ,0,,0
28,transparent,AUSTRIA,0,,0,,0
28,transparent,ENGLAND,3,GERMANY RUSSIA ,10,FRANCE ,8
28,transparent,FRANCE,8,,0,ENGLAND GERMANY ITALY ,18
28,transparent,GERMANY,4,,0,,0
28,RL,ITALY,11,,0,RUSSIA TURKEY ,8
28,transparent,RUSSIA,6,ENGLAND ,3,GERMANY ITALY ,15
28,transparent,TURKEY,2,AUSTRIA ,0,ITALY ,11
31,transparent,AUSTRIA,0,,0,,0
31,transparent,ENGLAND,4,GERMANY RUSSIA ,7,FRANCE ,10
31,transparent,FRANCE,10,,0,ENGLAND ITALY ,16
31,transparent,GERMANY,1,,0,FRANCE ,10
31,RL,ITALY,12,,0,FRANCE RUSSIA TURKEY ,17
31,transparent,RUSSIA,6,ENGLAND ,4,GERMANY ITALY ,13
31,transparent,TURKEY,1,AUSTRIA ,0,,0
33,transparent,AUSTRIA,0,,0,,0
33,transparent,ENGLAND,4,GERMANY RUSSIA ,7,FRANCE ,10
33,transparent,FRANCE,10,,0,ENGLAND ITALY ,16
33,transparent,GERMANY,1,,0,,0
