step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,RL,RUSSIA,4,,0,,0
0,transparent,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,RL,RUSSIA,4,,0,,0
1,transparent,TURKEY,3,,0,,0
3,transparent,AUSTRIA,4,,0,RUSSIA ,7
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,6,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,RL,RUSSIA,7,,0,,0
3,transparent,TURKEY,4,,0,,0
5,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,11
5,transparent,ENGLAND,4,,0,,0
5,transparent,FRANCE,6,,0,,0
5,transparent,GERMANY,5,ENGLAND ,4,,0
5,transparent,ITALY,4,,0,,0
5,RL,RUSSIA,7,,0,AUSTRIA GERMANY TURKEY ,13
5,transparent,TURKEY,4,AUSTRIA ,4,,0
7,transparent,AUSTRIA,3,TURKEY ,5,RUSSIA ,6
7,transparent,ENGLAND,3,FRANCE GERMANY RUSSIA ,18,,0
7,transparent,FRANCE,5,,0,ENGLAND GERMANY ,10
7,transparent,GERMANY,7,ENGLAND ,3,FRANCE ,5
7,transparent,ITALY,5,,0,AUSTRIA ,3
7,RL,RUSSIA,6,,0,AUSTRIA GERMANY ITALY TURKEY ,20
7,transparent,TURKEY,5,AUSTRIA ,3,RUSSIA ,6
9,transparent,AUSTRIA,3,,0,ITALY TURKEY ,10
9,transparent,ENGLAND,3,FRANCE GERMANY RUSSIA ,18,,0
9,transparent,FRANCE,5,,0,ENGLAND GERMANY ,10
9,transparent,GERMANY,7,ENGLAND RUSSIA ,9,FRANCE ,5
9,transparent,ITALY,5,,0,TURKEY ,5
9,RL,RUSSIA,6,,0,AUSTRIA GERMANY ITALY TURKEY ,20
9,transparent,TURKEY,5,AUSTRIA ,3,ITALY RUSSIA ,11
11,transparent,AUSTRIA,1,,0,ITALY RUSSIA ,13
11,transparent,ENGLAND,4,FRANCE GERMANY RUSSIA ,18,,0
11,transparent,FRANCE,5,,0,ENGLAND ,4
11,transparent,GERMANY,7,ENGLAND RUSSIA ,10,FRANCE ,5
11,transparent,ITALY,7,,0,AUSTRIA RUSSIA ,7
11,RL,RUSSIA,6,,0,AUSTRIA GERMANY ITALY TURKEY ,19
11,transparent,TURKEY,4,AUSTRIA ,1,,0
13,transparent,AUSTRIA,1,,0,RUSSIA ,6
13,transparent,ENGLAND,4,GERMANY RUSSIA ,13,FRANCE ,5
13,transparent,FRANCE,5,,0,ENGLAND GERMANY ,11
13,transparent,GERMANY,7,ENGLAND RUSSIA ,10,FRANCE ,5
13,transparent,ITALY,7,,0,RUSSIA ,6
13,RL,RUSSIA,6,,0,AUSTRIA ITALY TURKEY ,12
13,transparent,TURKEY,4,AUSTRIA ,1,RUSSIA ,6
16,transparent,AUSTRIA,1,,0,,0
16,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
16,transparent,FRANCE,5,,0,ENGLAND GERMANY ,12
16,transparent,GERMANY,7,ENGLAND RUSSIA ,9,FRANCE ,5
16,transparent,ITALY,8,,0,,0
16,RL,RUSSIA,4,,0,AUSTRIA GERMANY ITALY TURKEY ,20
16,transparent,TURKEY,4,AUSTRIA ,1,ITALY RUSSIA ,12
18,transparent,AUSTRIA,1,,0,ITALY ,8
18,transparent,ENGLAND,5,RUSSIA ,4,FRANCE GERMANY ,12
18,transparent,FRANCE,5,,0,ENGLAND ,5
18,transparent,GERMANY,7,ENGLAND RUSSIA ,9,,0
18,transparent,ITALY,8,,0,AUSTRIA ,1
18,RL,RUSSIA,4,,0,GERMANY ITALY TURKEY ,19
18,transparent,TURKEY,4,AUSTRIA ,1,ITALY RUSSIA ,12
21,transparent,AUSTRIA,0,,0,,0
21,transparent,ENGLAND,3,RUSSIA ,2,,0
21,transparent,FRANCE,6,,0,ENGLAND GERMANY ,11
21,transparent,GERMANY,8,ENGLAND RUSSIA ,5,,0
21,transparent,ITALY,11,,0,AUSTRIA ,0
21,RL,RUSSIA,2,,0,GERMANY ITALY ,19
21,transparent,TURKEY,4,AUSTRIA ,0,ITALY RUSSIA ,13
23,transparent,AUSTRIA,0,,0,,0
23,transparent,ENGLAND,3,RUSSIA ,2,GERMANY ,8
23,transparent,FRANCE,6,,0,ENGLAND GERMANY ,11
23,transparent,GERMANY,8,ENGLAND RUSSIA ,5,FRANCE ,6
23,transparent,ITALY,11,GERMANY ,8,RUSSIA TURKEY ,6
23,RL,RUSSIA,2,,0,ITALY ,11
23,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,11
26,transparent,AUSTRIA,0,,0,,0
26,transparent,ENGLAND,3,RUSSIA ,2,FRANCE GERMANY ,14
26,transparent,FRANCE,5,,0,ENGLAND GERMANY ,12
26,transparent,GERMANY,9,ENGLAND RUSSIA ,5,FRANCE ,5
26,transparent,ITALY,11,GERMANY ,9,RUSSIA ,2
26,RL,RUSSIA,2,,0,ITALY ,11
26,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,11
28,transparent,AUSTRIA,0,,0,,0
28,transparent,ENGLAND,3,RUSSIA ,2,FRANCE GERMANY ,14
28,transparent,FRANCE,5,,0,ENGLAND GERMANY ITALY ,23
28,transparent,GERMANY,9,ENGLAND RUSSIA ,5,,0
28,transparent,ITALY,11,GERMANY ,9,RUSSIA ,2
28,RL,RUSSIA,2,,0,ITALY ,11
28,transparent,TURKEY,4,AUSTRIA ,0,ITALY ,11
30,transparent,AUSTRIA,0,,0,,0
30,transparent,ENGLAND,3,RUSSIA ,2,FRANCE GERMANY ,13
30,transparent,FRANCE,4,,0,ENGLAND GERMANY ITALY ,25
30,transparent,GERMANY,9,RUSSIA ,2,ENGLAND FRANCE ,7
30,transparent,ITALY,13,GERMANY ,9,RUSSIA ,2
