step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
28,transparent,TURKEY,2,AUSTRIA ,0,ITALY ,11
31,transparent,AUSTRIA,0,,0,,0
31,transparent,ENGLAND,3,GERMANY RUSSIA ,12,,0
31,RL,FRANCE,5,,0,ENGLAND GERMANY ITALY ,22
31,transparent,GERMANY,6,,0,FRANCE ,5
31,transparent,ITALY,13,,0,RUSSIA TURKEY ,7
31,transparent,RUSSIA,6,,0,ITALY ,13
31,transparent,TURKEY,1,AUSTRIA ,0,,0
33,transparent,AUSTRIA,0,,0,,0
33,transparent,ENGLAND,3,GERMANY RUSSIA ,12,FRANCE ,5
33,RL,FRANCE,5,,0,ENGLAND GERMANY ITALY ,22
33,transparent,GERMANY,6,,0,FRANCE ITALY ,18
33,transparent,ITALY,13,,0,GERMANY RUSSIA ,12
33,transparent,RUSSIA,6,,0,ITALY ,13
33,transparent,TURKEY,1,AUSTRIA ,0,,0
36,transparent,AUSTRIA,0,,0,,0
36,transparent,ENGLAND,3,GERMANY RUSSIA ,13,,0
36,RL,FRANCE,4,,0,ENGLAND GERMANY ITALY ,23
36,transparent,GERMANY,7,,0,FRANCE ITALY ,17
36,transparent,ITALY,13,,0,RUSSIA ,6
36,transparent,RUSSIA,6,,0,ITALY ,13
36,transparent,TURKEY,1,AUSTRIA ,0,,0
38,transparent,AUSTRIA,0,,0,,0
38,transparent,ENGLAND,3,GERMANY RUSSIA ,13,,0
38,RL,FRANCE,4,,0,ENGLAND ,3
38,transparent,GERMANY,7,,0,,0
38,transparent,ITALY,13,,0,GERMANY RUSSIA ,13
38,transparent,RUSSIA,6,,0,ITALY ,13
38,transparent,TURKEY,1,AUSTRIA ,0,,0
41,transparent,AUSTRIA,0,,0,,0
41,transparent,ENGLAND,5,GERMANY RUSSIA ,13,,0
41,RL,FRANCE,1,,0,ENGLAND ,5
41,transparent,GERMANY,7,,0,ITALY ,14
41,transparent,ITALY,14,FRANCE ,1,RUSSIA ,6
41,transparent,RUSSIA,6,,0,ITALY ,14
41,transparent,TURKEY,1,AUSTRIA ,0,,0
42,transparent,AUSTRIA,0,,0,,0
42,transparent,ENGLAND,5,GERMANY RUSSIA ,13,,0
42,RL,FRANCE,1,,0,ENGLAND ,5
42,transparent,GERMANY,7,,0,ITALY ,14
42,transparent,ITALY,14,FRANCE ,1,GERMANY RUSSIA ,13
42,transparent,RUSSIA,6,,0,ITALY ,14
42,transparent,TURKEY,1,AUSTRIA ,0,,0
45,transparent,AUSTRIA,0,,0,,0
45,transparent,ENGLAND,4,GERMANY RUSSIA ,13,,0
45,RL,FRANCE,1,,0,,0
45,transparent,GERMANY,7,,0,ITALY ,15
45,transparent,ITALY,15,,0,FRANCE GERMANY RUSSIA ,14
45,transparent,RUSSIA,6,,0,ITALY ,15
45,transparent,TURKEY,1,AUSTRIA ,0,,0
46,transparent,AUSTRIA,0,,0,,0
46,transparent,ENGLAND,4,GERMANY RUSSIA ,13,,0
46,RL,FRANCE,1,,0,ITALY ,15
46,transparent,GERMANY,7,,0,ITALY ,15
46,transparent,ITALY,15,,0,FRANCE GERMANY RUSSIA ,14
46,transparent,RUSSIA,6,,0,ITALY ,15
46,transparent,TURKEY,1,AUSTRIA ,0,,0
48,transparent,AUSTRIA,0,,0,,0
48,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
48,RL,FRANCE,0,,0,ITALY ,17
48,transparent,GERMANY,6,,0,ITALY ,17
48,transparent,ITALY,17,,0,FRANCE GERMANY RUSSIA ,12
48,transparent,RUSSIA,6,,0,ITALY ,17
48,transparent,TURKEY,1,AUSTRIA ,0,,0
49,transparent,AUSTRIA,0,,0,,0
49,transparent,ENGLAND,4,GERMANY RUSSIA ,12,,0
49,RL,FRANCE,0,,0,ITALY ,17
49,transparent,GERMANY,6,,0,ITALY ,17
49,transparent,ITALY,17,,0,GERMANY RUSSIA ,12
49,transparent,RUSSIA,6,,0,ITALY ,17
49,transparent,TURKEY,1,AUSTRIA ,0,,0
51,transparent,AUSTRIA,0,,0,,0
51,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
51,RL,FRANCE,0,,0,ITALY ,17
51,transparent,GERMANY,5,,0,ITALY ,17
51,transparent,ITALY,17,,0,RUSSIA ,6
51,transparent,RUSSIA,6,,0,ITALY ,17
51,transparent,TURKEY,1,AUSTRIA ,0,,0
53,transparent,AUSTRIA,0,,0,,0
53,transparent,ENGLAND,5,GERMANY RUSSIA ,11,,0
53,RL,FRANCE,0,,0,ITALY ,17
53,transparent,GERMANY,5,,0,ITALY ,17
53,transparent,ITALY,17,,0,ENGLAND RUSSIA ,11
53,transparent,RUSSIA,6,,0,ITALY ,17
