step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,RL,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,RL,TURKEY,3,,0,,0
3,transparent,AUSTRIA,5,,0,,0
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,5,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,transparent,RUSSIA,6,,0,,0
3,RL,TURKEY,4,,0,,0
5,transparent,AUSTRIA,5,,0,ITALY RUSSIA ,10
5,transparent,ENGLAND,4,,0,FRANCE ,5
5,transparent,FRANCE,5,,0,,0
5,transparent,GERMANY,5,,0,,0
5,transparent,ITALY,4,,0,AUSTRIA ,5
5,transparent,RUSSIA,6,ENGLAND ,4,GERMANY TURKEY ,9
5,RL,TURKEY,4,,0,,0
7,transparent,AUSTRIA,5,,0,ITALY ,4
7,transparent,ENGLAND,3,GERMANY ,6,,0
7,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
7,transparent,GERMANY,6,,0,FRANCE ,6
7,transparent,ITALY,4,,0,AUSTRIA ,5
7,transparent,RUSSIA,6,ENGLAND ,3,TURKEY ,4
7,RL,TURKEY,4,,0,,0
9,transparent,AUSTRIA,5,,0,ITALY ,4
9,transparent,ENGLAND,3,GERMANY ,6,FRANCE ,6
9,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
9,transparent,GERMANY,6,RUSSIA ,6,FRANCE ,6
9,transparent,ITALY,4,,0,AUSTRIA ,5
9,transparent,RUSSIA,6,ENGLAND ,3,TURKEY ,4
9,RL,TURKEY,4,,0,,0
12,transparent,AUSTRIA,4,,0,ITALY RUSSIA TURKEY ,16
12,transparent,ENGLAND,3,GERMANY ,6,,0
12,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
12,transparent,GERMANY,6,RUSSIA ,8,FRANCE ,5
12,transparent,ITALY,4,,0,AUSTRIA ,4
12,transparent,RUSSIA,8,ENGLAND ,3,GERMANY ,6
12,RL,TURKEY,4,AUSTRIA ,4,ITALY ,4
13,transparent,AUSTRIA,4,,0,ITALY ,4
13,transparent,ENGLAND,3,GERMANY ,6,,0
13,transparent,FRANCE,5,,0,GERMANY ,6
13,transparent,GERMANY,6,,0,RUSSIA ,8
13,transparent,ITALY,4,FRANCE ,5,TURKEY ,4
13,transparent,RUSSIA,8,ENGLAND ,3,AUSTRIA TURKEY ,8
13,RL,TURKEY,4,AUSTRIA ,4,ITALY ,4
16,transparent,AUSTRIA,3,,0,ITALY RUSSIA ,13
16,transparent,ENGLAND,3,GERMANY ,6,,0
16,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
16,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
16,transparent,ITALY,6,FRANCE ,5,AUSTRIA ,3
16,transparent,RUSSIA,7,ENGLAND ,3,TURKEY ,4
16,RL,TURKEY,4,AUSTRIA ,3,ITALY ,6
18,transparent,AUSTRIA,3,,0,ITALY ,6
18,transparent,ENGLAND,3,GERMANY ,6,FRANCE ,5
18,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
18,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
18,transparent,ITALY,6,FRANCE ,5,,0
18,transparent,RUSSIA,7,ENGLAND ,3,AUSTRIA ,3
18,RL,TURKEY,4,AUSTRIA ,3,ITALY RUSSIA ,13
20,transparent,AUSTRIA,1,,0,ITALY TURKEY ,12
20,transparent,ENGLAND,3,GERMANY ,6,,0
20,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
20,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
20,transparent,ITALY,9,FRANCE ,5,AUSTRIA ,1
20,transparent,RUSSIA,7,ENGLAND ,3,,0
20,RL,TURKEY,3,AUSTRIA ,1,RUSSIA ,7
22,transparent,AUSTRIA,1,,0,ITALY ,9
22,transparent,ENGLAND,3,GERMANY ,6,,0
22,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
22,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
22,transparent,ITALY,9,FRANCE ,5,AUSTRIA RUSSIA ,8
22,transparent,RUSSIA,7,ENGLAND ,3,ITALY ,9
22,RL,TURKEY,3,AUSTRIA ,1,ITALY RUSSIA ,16
23,transparent,AUSTRIA,1,,0,ITALY ,9
23,transparent,ENGLAND,3,GERMANY ,6,,0
23,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
23,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
23,transparent,ITALY,9,FRANCE ,5,AUSTRIA RUSSIA ,8
23,transparent,RUSSIA,7,ENGLAND ,3,ITALY ,9
23,RL,TURKEY,3,AUSTRIA ,1,ITALY RUSSIA ,16
25,transparent,AUSTRIA,1,,0,ITALY ,9
25,transparent,ENGLAND,3,GERMANY ,6,FRANCE ,5
25,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
25,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
25,transparent,ITALY,9,FRANCE ,5,AUSTRIA RUSSIA TURKEY ,11
25,transparent,RUSSIA,7,ENGLAND ,3,ITALY ,9
25,RL,TURKEY,3,AUSTRIA ,1,ITALY RUSSIA ,16
28,transparent,AUSTRIA,1,,0,ITALY ,10
28,transparent,ENGLAND,3,GERMANY ,6,,0
28,transparent,FRANCE,5,,0,ENGLAND ,3
28,transparent,GERMANY,6,,0,FRANCE RUSSIA ,12
28,transparent,ITALY,10,FRANCE ,5,AUSTRIA RUSSIA TURKEY ,10
28,transparent,RUSSIA,7,ENGLAND ,3,ITALY ,10
28,RL,TURKEY,2,AUSTRIA ,1,ITALY ,10
29,transparent,AUSTRIA,1,,0,ITALY ,10
29,transparent,ENGLAND,3,GERMANY ,6,,0
