step,bot type,power,number of sc,ally power,number of ally sc,enemy power,number of enemy sc
0,transparent,AUSTRIA,3,,0,,0
0,transparent,ENGLAND,3,,0,,0
0,transparent,FRANCE,3,,0,,0
0,transparent,GERMANY,3,,0,,0
0,transparent,ITALY,3,,0,,0
0,transparent,RUSSIA,4,,0,,0
0,RL,TURKEY,3,,0,,0
1,transparent,AUSTRIA,3,,0,,0
1,transparent,ENGLAND,3,,0,,0
1,transparent,FRANCE,3,,0,,0
1,transparent,GERMANY,3,,0,,0
1,transparent,ITALY,3,,0,,0
1,transparent,RUSSIA,4,,0,,0
1,RL,TURKEY,3,,0,,0
3,transparent,AUSTRIA,5,,0,,0
3,transparent,ENGLAND,4,,0,,0
3,transparent,FRANCE,5,,0,,0
3,transparent,GERMANY,5,,0,,0
3,transparent,ITALY,4,,0,,0
3,transparent,RUSSIA,6,,0,,0
3,RL,TURKEY,4,,0,,0
5,transparent,AUSTRIA,5,,0,ITALY RUSSIA ,10
5,transparent,ENGLAND,4,,0,FRANCE ,5
5,transparent,FRANCE,5,,0,,0
5,transparent,GERMANY,5,,0,,0
5,transparent,ITALY,4,,0,AUSTRIA ,5
5,transparent,RUSSIA,6,ENGLAND ,4,GERMANY TURKEY ,9
5,RL,TURKEY,4,,0,,0
7,transparent,AUSTRIA,5,,0,ITALY ,4
7,transparent,ENGLAND,3,GERMANY ,6,,0
7,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
7,transparent,GERMANY,6,,0,FRANCE ,6
7,transparent,ITALY,4,,0,AUSTRIA ,5
7,transparent,RUSSIA,6,ENGLAND ,3,TURKEY ,4
7,RL,TURKEY,4,,0,,0
9,transparent,AUSTRIA,5,,0,ITALY ,4
9,transparent,ENGLAND,3,GERMANY ,6,FRANCE ,6
9,transparent,FRANCE,6,,0,ENGLAND GERMANY ,9
9,transparent,GERMANY,6,RUSSIA ,6,FRANCE ,6
9,transparent,ITALY,4,,0,AUSTRIA ,5
9,transparent,RUSSIA,6,ENGLAND ,3,TURKEY ,4
9,RL,TURKEY,4,,0,,0
12,transparent,AUSTRIA,5,,0,ITALY RUSSIA TURKEY ,15
12,transparent,ENGLAND,3,GERMANY ,6,,0
12,transparent,FRANCE,5,,0,ENGLAND GERMANY ,9
12,transparent,GERMANY,6,RUSSIA ,7,FRANCE ,5
12,transparent,ITALY,4,,0,AUSTRIA ,5
12,transparent,RUSSIA,7,ENGLAND ,3,GERMANY ,6
12,RL,TURKEY,4,AUSTRIA ,5,ITALY ,4
13,transparent,AUSTRIA,5,,0,ITALY RUSSIA ,11
13,transparent,ENGLAND,3,GERMANY ,6,,0
13,transparent,FRANCE,5,,0,GERMANY ,6
13,transparent,GERMANY,6,RUSSIA ,7,,0
13,transparent,ITALY,4,FRANCE ,5,AUSTRIA TURKEY ,9
13,transparent,RUSSIA,7,ENGLAND ,3,AUSTRIA TURKEY ,9
13,RL,TURKEY,4,,0,AUSTRIA ITALY ,9
16,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,12
16,transparent,ENGLAND,3,GERMANY ,5,,0
16,transparent,FRANCE,6,,0,ENGLAND ,3
16,transparent,GERMANY,5,RUSSIA ,7,FRANCE ,6
16,transparent,ITALY,5,FRANCE ,6,AUSTRIA ,4
16,transparent,RUSSIA,7,ENGLAND ,3,TURKEY ,4
16,RL,TURKEY,4,,0,AUSTRIA ITALY ,9
18,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,12
18,transparent,ENGLAND,3,GERMANY ,5,FRANCE ,6
18,transparent,FRANCE,6,,0,ENGLAND GERMANY ,8
18,transparent,GERMANY,5,RUSSIA ,7,FRANCE ,6
18,transparent,ITALY,5,FRANCE ,6,AUSTRIA ,4
18,transparent,RUSSIA,7,ENGLAND ,3,AUSTRIA TURKEY ,8
18,RL,TURKEY,4,,0,AUSTRIA ITALY ,9
21,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,11
21,transparent,ENGLAND,3,GERMANY ,5,FRANCE ,6
21,transparent,FRANCE,6,,0,ENGLAND ,3
21,transparent,GERMANY,5,RUSSIA ,6,FRANCE ,6
21,transparent,ITALY,5,FRANCE ,6,,0
21,transparent,RUSSIA,6,ENGLAND ,3,TURKEY ,5
21,RL,TURKEY,5,,0,AUSTRIA ITALY RUSSIA ,15
23,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,11
23,transparent,ENGLAND,3,GERMANY ,5,FRANCE ,6
23,transparent,FRANCE,6,,0,ENGLAND GERMANY ,8
23,transparent,GERMANY,5,RUSSIA ,6,FRANCE ,6
23,transparent,ITALY,5,FRANCE ,6,TURKEY ,5
23,transparent,RUSSIA,6,ENGLAND ,3,,0
23,RL,TURKEY,5,,0,ITALY RUSSIA ,11
26,transparent,AUSTRIA,4,,0,ITALY RUSSIA ,13
26,transparent,ENGLAND,3,GERMANY ,5,FRANCE ,6
26,transparent,FRANCE,6,,0,ENGLAND GERMANY ,8
26,transparent,GERMANY,5,RUSSIA ,6,FRANCE ,6
26,transparent,ITALY,7,FRANCE ,6,AUSTRIA ,4
26,transparent,RUSSIA,6,ENGLAND ,3,,0
26,RL,TURKEY,3,,0,ITALY RUSSIA ,13
28,transparent,AUSTRIA,4,,0,ITALY RUSSIA TURKEY ,16
28,transparent,ENGLAND,3,GERMANY ,5,FRANCE ,6
28,transparent,FRANCE,6,,0,ENGLAND GERMANY ,8
28,transparent,GERMANY,5,RUSSIA ,6,FRANCE ,6
28,transparent,ITALY,7,FRANCE ,6,AUSTRIA TURKEY ,7
28,transparent,RUSSIA,6,ENGLAND ,3,AUSTRIA ,4
28,RL,TURKEY,3,,0,ITALY RUSSIA ,13
30,transparent,AUSTRIA,3,,0,ITALY RUSSIA TURKEY ,17
30,transparent,ENGLAND,3,GERMANY ,3,,0
30,transparent,FRANCE,8,,0,ENGLAND GERMANY ,6
30,transparent,GERMANY,3,RUSSIA ,7,FRANCE ,8
30,transparent,ITALY,8,FRANCE ,8,TURKEY ,2
30,transparent,RUSSIA,7,ENGLAND ,3,TURKEY ,2
30,RL,TURKEY,2,,0,ITALY RUSSIA ,15
32,transparent,AUSTRIA,3,,0,ITALY RUSSIA ,15
