sender,recipient,share,power1,order_type,power2stance of recipient
TURKEY,AUSTRIA,1,TURKEY,move,,neutral
TURKEY,AUSTRIA,1,TURKEY,move,,neutral
TURKEY,AUSTRIA,0,TURKEY,move,,neutral
TURKEY,ENGLAND,0,TURKEY,move,,neutral
TURKEY,ENGLAND,1,TURKEY,move,,neutral
TURKEY,ENGLAND,0,TURKEY,move,,neutral
TURKEY,FRANCE,1,TURKEY,move,,neutral
TURKEY,FRANCE,1,TURKEY,move,,neutral
TURKEY,FRANCE,0,TURKEY,move,,neutral
TURKEY,GERMANY,1,TURKEY,move,,neutral
TURKEY,GERMANY,1,TURKEY,move,,neutral
TURKEY,GERMANY,0,TURKEY,move,,neutral
TURKEY,ITALY,1,TURKEY,move,,neutral
TURKEY,ITALY,1,TURKEY,move,,neutral
TURKEY,ITALY,1,TURKEY,move,,neutral
TURKEY,RUSSIA,0,TURKEY,move,,neutral
TURKEY,RUSSIA,0,TURKEY,move,,neutral
TURKEY,RUSSIA,1,TURKEY,move,,neutral
TURKEY,AUSTRIA,1,TURKEY,move,,neutral
TURKEY,AUSTRIA,1,TURKEY,move,,neutral
TURKEY,AUSTRIA,0,TURKEY,move,,neutral
TURKEY,ENGLAND,1,TURKEY,move,,neutral
TURKEY,ENGLAND,1,TURKEY,move,,neutral
TURKEY,ENGLAND,0,TURKEY,move,,neutral
TURKEY,FRANCE,1,TURKEY,move,,neutral
TURKEY,FRANCE,0,TURKEY,move,,neutral
TURKEY,FRANCE,0,TURKEY,move,,neutral
TURKEY,GERMANY,1,TURKEY,move,,neutral
TURKEY,GERMANY,0,TURKEY,move,,neutral
TURKEY,GERMANY,1,TURKEY,move,,neutral
TURKEY,ITALY,1,TURKEY,move,,neutral
TURKEY,ITALY,0,TURKEY,move,,neutral
TURKEY,ITALY,1,TURKEY,move,,neutral
TURKEY,RUSSIA,0,TURKEY,move,,neutral
TURKEY,RUSSIA,0,TURKEY,move,,neutral
TURKEY,RUSSIA,0,TURKEY,move,,neutral
TURKEY,AUSTRIA,0,TURKEY,move,,neutral
TURKEY,AUSTRIA,0,TURKEY,move,,neutral
TURKEY,AUSTRIA,0,TURKEY,move,,neutral
TURKEY,AUSTRIA,1,TURKEY,move,,neutral
TURKEY,ENGLAND,1,TURKEY,move,,neutral
TURKEY,ENGLAND,0,TURKEY,move,,neutral
TURKEY,ENGLAND,0,TURKEY,move,,neutral
TURKEY,ENGLAND,1,TURKEY,move,,neutral
TURKEY,FRANCE,1,TURKEY,move,,neutral
