sender,recipient,share,power1,order_type,power2stance of recipient
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,0,RUSSIA,move,,neutral
RUSSIA,AUSTRIA,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,ENGLAND,0,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,move,,neutral
RUSSIA,ENGLAND,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,0,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,move,,neutral
RUSSIA,FRANCE,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,1,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,move,,neutral
RUSSIA,GERMANY,0,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,0,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,move,,neutral
RUSSIA,ITALY,1,RUSSIA,attack,AUSTRIA,neutral
RUSSIA,TURKEY,0,RUSSIA,move,,neutral
