sender,recipient,share,power1,order_type,power2stance of recipient
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,AUSTRIA,1,FRANCE,support,FRANCE,neutral
FRANCE,ENGLAND,0,FRANCE,move,,neutral
FRANCE,ENGLAND,1,FRANCE,move,,neutral
FRANCE,ENGLAND,0,FRANCE,support,FRANCE,neutral
FRANCE,GERMANY,0,FRANCE,move,,neutral
FRANCE,GERMANY,0,FRANCE,move,,neutral
FRANCE,GERMANY,1,FRANCE,support,FRANCE,neutral
FRANCE,ITALY,1,FRANCE,move,,neutral
FRANCE,ITALY,1,FRANCE,move,,neutral
FRANCE,ITALY,0,FRANCE,support,FRANCE,neutral
FRANCE,RUSSIA,1,FRANCE,move,,neutral
FRANCE,RUSSIA,0,FRANCE,move,,neutral
FRANCE,RUSSIA,1,FRANCE,support,FRANCE,neutral
FRANCE,TURKEY,1,FRANCE,move,,neutral
FRANCE,TURKEY,1,FRANCE,move,,neutral
FRANCE,TURKEY,1,FRANCE,support,FRANCE,neutral
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,ENGLAND,1,FRANCE,move,,neutral
FRANCE,ENGLAND,0,FRANCE,move,,neutral
FRANCE,ENGLAND,1,FRANCE,move,,neutral
FRANCE,GERMANY,0,FRANCE,move,,neutral
FRANCE,GERMANY,0,FRANCE,move,,neutral
FRANCE,GERMANY,1,FRANCE,move,,neutral
FRANCE,ITALY,0,FRANCE,move,,neutral
FRANCE,ITALY,1,FRANCE,move,,neutral
FRANCE,ITALY,1,FRANCE,move,,neutral
FRANCE,RUSSIA,0,FRANCE,move,,neutral
FRANCE,RUSSIA,1,FRANCE,move,,neutral
FRANCE,RUSSIA,1,FRANCE,move,,neutral
FRANCE,TURKEY,0,FRANCE,move,,neutral
FRANCE,TURKEY,1,FRANCE,move,,neutral
FRANCE,TURKEY,1,FRANCE,move,,neutral
FRANCE,AUSTRIA,1,FRANCE,attack,ENGLAND,neutral
FRANCE,AUSTRIA,0,FRANCE,support,FRANCE,neutral
FRANCE,AUSTRIA,1,FRANCE,support,ITALY,neutral
FRANCE,AUSTRIA,1,FRANCE,move,,neutral
FRANCE,ENGLAND,0,FRANCE,attack,ENGLAND,neutral
FRANCE,ENGLAND,1,FRANCE,support,FRANCE,neutral
FRANCE,ENGLAND,1,FRANCE,support,ITALY,neutral
FRANCE,ENGLAND,0,FRANCE,move,,neutral
FRANCE,GERMANY,0,FRANCE,attack,ENGLAND,neutral
FRANCE,GERMANY,1,FRANCE,support,FRANCE,neutral
